Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 0,file
1.0,CAA,1,14365,CANELONES,"Liceo N°1 ""Tomás Berreta"", Treinta y Tres esq. Juaquín Suárez",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
2.0,CAA,14366,16729,CANELONES,"Liceo N°1 ""Tomás Berreta"", Treinta y Tres esq. Juaquín Suárez",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
3.0,CAA,16730,18564,CANELONES,"Liceo N°1 ""Tomás Berreta"", Treinta y Tres esq. Juaquín Suárez",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
4.0,CAA,18565,19851,CANELONES,"Liceo N°1 ""Tomás Berreta"", Treinta y Tres esq. Juaquín Suárez",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
5.0,CAA,19852,20987,CANELONES,"Liceo N°1 ""Tomás Berreta"", Treinta y Tres esq. Juaquín Suárez",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
6.0,CAA,20988,22026,CANELONES,"Liceo N°1 ""Tomás Berreta"", Treinta y Tres esq. Juaquín Suárez",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
7.0,CAA,22027,23113,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
8.0,CAA,23114,23918,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
9.0,CAA,23919,24663,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
10.0,CAA,24664,25420,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
11.0,CAA,25421,26340,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
12.0,CAA,26341,27092,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",410.0,S,Urbano,,planes_circuitales\Canelones.pdf
13.0,CAA,27093,27795,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",400.0,S,Urbano,,planes_circuitales\Canelones.pdf
14.0,CAA,27796,28661,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",400.0,S,Urbano,,planes_circuitales\Canelones.pdf
15.0,CAA,28662,29241,CANELONES,"Escuela N° 101 y 102, Treinta y Tres entre J. Suárez y Zorrilla",400.0,S,Urbano,,planes_circuitales\Canelones.pdf
16.0,CAA,29242,29781,CANELONES,"Instituto de Formación Docente, Treinta y Tres y J. Suárez",400.0,S,Urbano,,planes_circuitales\Canelones.pdf
