Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1.0,GAA,1,5187,MELO,Instituto de Formación Docente - Aparicio Saravia N° 441,400.0,S,N,planes_circuitales\Cerro_Largo.pdf
2.0,GAA,5188,6367,MELO,Escuela N° 1 - José Pedro Varela N° 728,400.0,N,N,planes_circuitales\Cerro_Largo.pdf
3.0,GAA,6368,7154,MELO,Escuela N° 1 - José Pedro Varela N° 728,400.0,N,N,planes_circuitales\Cerro_Largo.pdf
4.0,GAA,7155,7808,MELO,Escuela N° 2 - José Pedro Varela N° 662,400.0,S,N,planes_circuitales\Cerro_Largo.pdf
5.0,GAA,7809,8408,MELO,Escuela N° 2 - José Pedro Varela N° 662,400.0,S,N,planes_circuitales\Cerro_Largo.pdf
6.0,GAA,8409,8891,MELO,Escuela No 6 - Lavalleja N° 675,400.0,N,N,planes_circuitales\Cerro_Largo.pdf
7.0,GAA,8892,9314,MELO,Escuela No 6 - Lavalleja N° 675,381.0,N,N,planes_circuitales\Cerro_Largo.pdf
8.0,GAB,1,6076,MELO,Colegio María Auxiliadora - José Pedro Varela ( Portón),386.0,S,N,planes_circuitales\Cerro_Largo.pdf
9.0,GAB,6077,7226,MELO,Colegio María Auxiliadora - José Pedro Varela ( Portón),386.0,S,N,planes_circuitales\Cerro_Largo.pdf
10.0,GAB,7227,8183,MELO,Colegio María Auxiliadora - José Pedro Varela ( Portón),386.0,S,N,planes_circuitales\Cerro_Largo.pdf
11.0,GAB,8184,8941,MELO,Jardín de Infantes N° 139 - Ansina N° 440,386.0,N,N,planes_circuitales\Cerro_Largo.pdf
12.0,GAB,8942,9569,MELO,Jardín de Infantes N° 139 - Ansina N° 440,386.0,N,N,planes_circuitales\Cerro_Largo.pdf
13.0,GAB,9570,10114,MELO,Inspección  de Escuelas - Justino Muniz N°431,386.0,N,N,planes_circuitales\Cerro_Largo.pdf
14.0,GAB,10115,10606,MELO,Escuela N° 87 - Darío Silva y Garzón,386.0,S,N,planes_circuitales\Cerro_Largo.pdf
15.0,GAB,10607,11039,MELO,Escuela N° 87 - Darío Silva y Garzón,386.0,S,N,planes_circuitales\Cerro_Largo.pdf
16.0,GAB,11040,11458,MELO,Escuela N° 87 - Darío Silva y Garzón,394.0,S,N,planes_circuitales\Cerro_Largo.pdf
17.0,GAC,1,5203,MELO,Oficinas de Vialidad - Colón N° 401,378.0,S,N,planes_circuitales\Cerro_Largo.pdf
18.0,GAC,5204,6389,MELO,Escuela N° 7 - Dr. Luis Alberto de Herrera N° 480,378.0,N,N,planes_circuitales\Cerro_Largo.pdf
19.0,GAC,6390,7356,MELO,Escuela N° 7 - Dr. Luis Alberto de Herrera N° 480,378.0,N,N,planes_circuitales\Cerro_Largo.pdf
20.0,GAC,7357,8177,MELO,Escuela N° 7 - Dr. Luis Alberto de Herrera N° 480,378.0,N,N,planes_circuitales\Cerro_Largo.pdf
21.0,GAC,8178,8863,MELO,Liceo N° 1 - José E. Rodó y Avda Brasil.,378.0,S,N,planes_circuitales\Cerro_Largo.pdf
22.0,GAC,8864,9460,MELO,Liceo N° 1 - José E. Rodó y Avda Brasil.,378.0,S,N,planes_circuitales\Cerro_Largo.pdf
23.0,GAC,9461,9964,MELO,Liceo N° 1 - José E. Rodó y Avda Brasil.,378.0,S,N,planes_circuitales\Cerro_Largo.pdf
24.0,GAC,9965,10417,MELO,Liceo N° 1 - José E. Rodó y Avda Brasil.,378.0,S,N,planes_circuitales\Cerro_Largo.pdf
