Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,NAA,1,1515,PASO DE LA HORQUETA,ESCUELA N° 79 - RUTA 21 KM 201.500,195,S,S,planes_circuitales\Colonia.pdf
2,NAA,1516,1773,PASO DE LA HORQUETA,ESCUELA No 79 - RUTA 21 KM 201.500,195,S,S,planes_circuitales\Colonia.pdf
3,NAB,1,7851,CIUDAD DE COLONIA,BASTION DEL CARMEN - RIVADAVIA 223,410,S,N,planes_circuitales\Colonia.pdf
4,NAB,7852,9541,CIUDAD DE COLONIA,B.P.S - AVDA. GRAL FLORES 255 BIS,410,S,N,planes_circuitales\Colonia.pdf
5,NAB,9542,10752,CIUDAD DE COLONIA,B.P.S - ITUZAINGO Y GRAL FLORES,410,S,N,planes_circuitales\Colonia.pdf
6,NAB,10753,11999,CIUDAD DE COLONIA,CASA DE LA CULTURA - RIVERA 346-PORTON LATERAL,410,S,N,planes_circuitales\Colonia.pdf
7,NAB,12000,13020,CIUDAD DE COLONIA,ACCION SOCIAL - RIVERA 344,410,S,N,planes_circuitales\Colonia.pdf
8,NAB,13021,13970,CIUDAD DE COLONIA,SECRETARIA DE LA JUVENTUD - AV. ARTIGAS 327,410,S,N,planes_circuitales\Colonia.pdf
9,NAB,13971,14962,CIUDAD DE COLONIA,SECRETARIA DE LA JUVENTUD - AV. ARTIGAS 327,410,N,N,planes_circuitales\Colonia.pdf
10,NAB,14963,15760,CIUDAD DE COLONIA,MIDES.  RIVERA 291,410,N,N,planes_circuitales\Colonia.pdf
11,NAB,15761,16611,CIUDAD DE COLONIA,ESCUELA No2 - RIVADAVIA No 333 - SALON MULTIUSO,410,S,N,planes_circuitales\Colonia.pdf
12,NAB,16612,17217,CIUDAD DE COLONIA,ESCUELA No2 - RIVADAVIA No 333 - SALON MULTIUSO,410,S,N,planes_circuitales\Colonia.pdf
13,NAB,17218,18102,CIUDAD DE COLONIA,ESCUELA No2 - RIVADAVIA No 333 - SALON MULTIUSO,410,S,N,planes_circuitales\Colonia.pdf
14,NAB,18103,18840,CIUDAD DE COLONIA,ESCUELA No2 - RIVADAVIA No 333 - SALON MULTIUSO,400,S,N,planes_circuitales\Colonia.pdf
15,NAB,18841,19517,CIUDAD DE COLONIA,COLEGIO SAN GABRIEL - Dr. D. FOSALBA No523,400,N,N,planes_circuitales\Colonia.pdf
16,NAB,19518,20176,CIUDAD DE COLONIA,SOCIEDAD ESPAÑOLA - DR. FOSALBA 524,400,S,N,planes_circuitales\Colonia.pdf
17,NAB,20177,20800,CIUDAD DE COLONIA,LICEO No 1 - J.L. PERROU  - RIVERA 325 SALA DE PROFESORES,400,S,N,planes_circuitales\Colonia.pdf
18,NAB,20801,21420,CIUDAD DE COLONIA,LICEO No 1 - J.L. RIVERA 325 LABORATORIO 1,400,S,N,planes_circuitales\Colonia.pdf
19,NAB,21421,22066,CIUDAD DE COLONIA,LICEO No 1 - J.L. PERROU GIMNASIO,400,S,N,planes_circuitales\Colonia.pdf
20,NAB,22067,22663,CIUDAD DE COLONIA,LICEO No 1 - J.L. PERROU GIMNASIO. RAMBLA Y DR. FOSALBA,400,S,N,planes_circuitales\Colonia.pdf
21,NAB,22664,23236,CIUDAD DE COLONIA,LICEO No 1 - J.L. PERROU GIMNASIO. RAMBLA Y DR. FOSALBA,400,S,N,planes_circuitales\Colonia.pdf
22,NAB,23237,23762,CIUDAD DE COLONIA,ESCUELA No 49 - D. BAQUE No 997,400,S,N,planes_circuitales\Colonia.pdf
23,NAB,23763,24263,CIUDAD DE COLONIA,ESCUELA No 49 - D. BAQUE No 997,400,S,N,planes_circuitales\Colonia.pdf
24,NAB,24264,24798,CIUDAD DE COLONIA,ESCUELA No 49 - D. BAQUE No 997,400,S,N,planes_circuitales\Colonia.pdf
25,NAB,24799,25306,CIUDAD DE COLONIA,ESCUELA No 49 - D. BAQUE No 997,400,N,N,planes_circuitales\Colonia.pdf
26,NAB,25307,25769,CIUDAD DE COLONIA,CTC  - CORONEL ARROYO No521,400,N,N,planes_circuitales\Colonia.pdf
27,NAB,25770,26266,CIUDAD DE COLONIA,AJUPENCO - ITUZAINGO 227,400,N,N,planes_circuitales\Colonia.pdf
28,NAB,26267,26707,CIUDAD DE COLONIA,CLUB OTTO WULF - SEDE - VENEZUELA S/N,400,N,N,planes_circuitales\Colonia.pdf
