Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1.0,RAA,1,6008,Ciudad,Jardin No 91-Barrio LaCalera,400,S,Urb.,planes_circuitales\Durazno.pdf
2.0,RAA,6009,7216,Ciudad,Escuela   No 9- Barrio La calera,400,S,Urb.,planes_circuitales\Durazno.pdf
3.0,RAA,7217,8192,Ciudad,Escuela   No 9- Barrio La calera,400,S,Urb.,planes_circuitales\Durazno.pdf
4.0,RAA,8193,9004,Ciudad,CO.BUSU-Caif-Pueblo Nuevo,400,S,Urb.,planes_circuitales\Durazno.pdf
5.0,RAA,9005,9746,Ciudad,CO.BUSU-Comedor- Pueblo Nuevo,400,S,Urb.,planes_circuitales\Durazno.pdf
6.0,RAA,9747,10468,Ciudad,CO.BUSU-Comedor- Pueblo Nuevo,400,S,Urb.,planes_circuitales\Durazno.pdf
7.0,RAA,10469,11126,Ciudad,GIMNASIO -Varona -Pueblo Nuevo,400,S,Urb.,planes_circuitales\Durazno.pdf
8.0,RAA,11127,11747,Ciudad,Escuela No 75 M.Salaberry  2868,400,S,Urb.,planes_circuitales\Durazno.pdf
9.0,RAA,11748,12348,Ciudad,Escuela No 75 M.Salaberry  2868,400,S,Urb.,planes_circuitales\Durazno.pdf
10.0,RAA,12349,12904,Ciudad,Salon Comunal -1-CO.VI.NU.VI,400,S,Urb.,planes_circuitales\Durazno.pdf
11.0,RAA,12905,13462,Ciudad,Escuela No 8 -Manuel Oribe  580,400,S,Urb.,planes_circuitales\Durazno.pdf
12.0,RAA,13463,14011,Ciudad,Escuela No 8 -Manuel Oribe  580,400,S,Urb.,planes_circuitales\Durazno.pdf
13.0,RAA,14012,14517,Ciudad,Liceo No 2- W. Ferreira y Muñoz,400,S,Urb.,planes_circuitales\Durazno.pdf
14.0,RAA,14518,14986,Ciudad,Liceo No 2- W. Ferreira y Muñoz,400,S,Urb.,planes_circuitales\Durazno.pdf
15.0,RAA,14987,15453,Ciudad,Liceo No 2- W. Ferreira y Muñoz,400,S,Urb.,planes_circuitales\Durazno.pdf
16.0,RAA,15454,15911,Ciudad,Escuela No 65 Joaquin Suarez No200,400,S,Urb.,planes_circuitales\Durazno.pdf
17.0,RAA,15912,16338,Ciudad,Escuela No 85  J. Suarez y F G. Perez,400,S,Urb.,planes_circuitales\Durazno.pdf
18.0,RAA,16339,16769,Ciudad,Escuela No 85  J. Suarez y F G. Perez,400,S,Urb.,planes_circuitales\Durazno.pdf
