Unnamed: 0,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,PAA,1,9728,Trinidad,Club Deportivo América  - Fco. Fondar N° 469,400,S,URB.,planes_circuitales\Flores.pdf
2,PAA,9729,11377,Trinidad,Club Deportivo América  - Fco. Fondar N° 469,400,S,URB.,planes_circuitales\Flores.pdf
3,PAA,11378,12799,Trinidad,Liceo American School - Dr. L. A. de Herrera N° 496,400,N,URB.,planes_circuitales\Flores.pdf
4,PAA,12800,13643,Trinidad,Escuela N° 40 - Dr. Luis A. de Herrera N° 432,400,S,URB.,planes_circuitales\Flores.pdf
5,PAA,13644,14525,Trinidad,Escuela N° 40 - Dr. Luis A. de Herrera N° 432,400,S,URB.,planes_circuitales\Flores.pdf
6,PAA,14526,15397,Trinidad,Centro Democrático - Dr. Luis A. de Herrera N° 522,400,S,URB.,planes_circuitales\Flores.pdf
7,PAA,15398,16032,Trinidad,Centro Democrático - Dr. Luis A. de Herrera N° 522,400,S,URB.,planes_circuitales\Flores.pdf
8,PAA,16033,16843,Trinidad,Centro Democrático - Dr. Luis A. de Herrera N° 522,400,S,URB.,planes_circuitales\Flores.pdf
9,PAA,16844,17511,Trinidad,Club Plenitud  - Dr. Luis A. de Herrera N° 507,400,N,URB.,planes_circuitales\Flores.pdf
10,PAA,17512,18200,Trinidad,Escuela N° 3. - Dr. Luis A. de Herrera N° 532,400,N,URB.,planes_circuitales\Flores.pdf
11,PAA,18201,18764,Trinidad,Escuela N° 3. - Dr. Luis A. de Herrera N° 532,400,N,URB.,planes_circuitales\Flores.pdf
12,PAA,18765,19428,Trinidad,Colegio San José - A. J. Puig No 391,400,S,URB.,planes_circuitales\Flores.pdf
13,PAA,19429,19990,Trinidad,Colegio San José - A. J. Puig No 391,400,S,URB.,planes_circuitales\Flores.pdf
14,PAA,19991,20523,Trinidad,Instituto de Formación Docente - A. J. Puig N° 520,400,N,URB.,planes_circuitales\Flores.pdf
15,PAA,20524,21005,Trinidad,Escuela N° 2 - A. J. Puig N° 505,400,N,URB.,planes_circuitales\Flores.pdf
16,PAA,21006,21511,Trinidad,Escuela N° 2 - A. J. Puig N° 505,400,N,URB.,planes_circuitales\Flores.pdf
17,PAA,21512,22000,Trinidad,Escuela N° 2 - A. J. Puig N° 505,400,N,URB.,planes_circuitales\Flores.pdf
18,PAA,22001,22433,Trinidad,Escuela Técnica - 25 de Agosto N° 427,400,S,URB.,planes_circuitales\Flores.pdf
19,PAA,22434,22877,Trinidad,Ex Hogar Estudiantil - Gral. Flores No 521,400,S,URB.,planes_circuitales\Flores.pdf
20,PAA,22878,23320,Trinidad,Escuela N° 19  - José González N° 438,400,S,URB.,planes_circuitales\Flores.pdf
21,PAA,23321,23740,Trinidad,Escuela N° 19  - José González N° 438,400,S,URB.,planes_circuitales\Flores.pdf
22,PAA,23741,24148,Trinidad,ADOFLO - Dr. Luis A. de Herrera N° 501,400,N,URB.,planes_circuitales\Flores.pdf
23,PAA,24149,24553,Trinidad,Escuela No 18 - Porongos N°530,399,S,URB.,planes_circuitales\Flores.pdf
24,PAB,1,1202,Arroyo Malo,Escuela N° 23 - Felipe Sanguinetti - Cont. Cno. la Atahona,26,S,RUR.,planes_circuitales\Flores.pdf
25,PAC,1,1965,Andresito,Escuela N° 7 - Aurora Lima Ipar - Andresito,288,S,RUR.,planes_circuitales\Flores.pdf
26,PAD,1,579,Manantiales,Escuela No 28 - María Emilia Berot de Beloqui - Ruta No 57,19,S,RUR.,planes_circuitales\Flores.pdf
27,PBA,1,11400,Trinidad,Oficina de Correos - C. Ma. Ramirez No 620,410,N,URB.,planes_circuitales\Flores.pdf
28,PBA,11401,13268,Trinidad,Casa de la Cultura - Stma. Trinidad c/ Sarandí,410,S,URB.,planes_circuitales\Flores.pdf
29,PBA,13269,14778,Trinidad,CAIF Gallito Azul  - Stma. Trinidad N° 625,410,N,URB.,planes_circuitales\Flores.pdf
30,PBA,14779,16289,Trinidad,Círculo Policial - Stma. Trinidad N° 525,410,S,URB.,planes_circuitales\Flores.pdf
31,PBA,16290,17243,Trinidad,Círculo Policial - Stma. Trinidad N° 525,410,S,URB.,planes_circuitales\Flores.pdf
32,PBA,17244,18104,Trinidad,"Liceo N° 1, - A. J. Puig N° 789",410,S,URB.,planes_circuitales\Flores.pdf
33,PBA,18105,19020,Trinidad,"Liceo N° 1, - A. J. Puig N° 789",410,S,URB.,planes_circuitales\Flores.pdf
34,PBA,19021,19958,Trinidad,"Liceo N° 1, - A. J. Puig N° 789",410,S,URB.,planes_circuitales\Flores.pdf
35,PBA,19959,20620,Trinidad,Liceo N° 1 - Batlle y Ordoñez c/ Treinta y Tres,410,N,URB.,planes_circuitales\Flores.pdf
36,PBA,20621,21498,Trinidad,Liceo N° 1 - Batlle y Ordoñez c/ Treinta y Tres,410,N,URB.,planes_circuitales\Flores.pdf
37,PBA,21499,22182,Trinidad,Liceo N° 1 - Batlle y Ordoñez c/ Treinta y Tres,410,N,URB.,planes_circuitales\Flores.pdf
38,PBA,22183,22803,Trinidad,Escuela N° 31 - José P. Varela No 695,410,S,URB.,planes_circuitales\Flores.pdf
39,PBA,22804,23486,Trinidad,Liceo N° 2 - Dr. Luis A. de Herrera No 1102,410,S,URB.,planes_circuitales\Flores.pdf
40,PBA,23487,24052,Trinidad,Liceo N° 2 - Dr. Luis A. de Herrera No 1102,410,S,URB.,planes_circuitales\Flores.pdf
