Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,QAA,1,19912,U. Barreiro No 3418,Centro Cultural Florida,410.0,SI,Urbano,planes_circuitales\Florida.pdf
2,QAA,19913,22390,U. Barreiro No 3418,Centro Cultural Florida,410.0,SI,Urbano,planes_circuitales\Florida.pdf
3,QAA,22391,24704,Pocho Fernandez N° 444,Instituto Normal,410.0,SI,Urbano,planes_circuitales\Florida.pdf
4,QAA,24705,26178,Pocho Fernandez N° 444,Instituto Normal,410.0,SI,Urbano,planes_circuitales\Florida.pdf
5,QAA,26179,27746,Joaquín Suarez No 3437,Liceo No 2,410.0,SI,Urbano,planes_circuitales\Florida.pdf
6,QAA,27747,28792,Joaquín Suarez No 3437,Liceo No 2,400.0,SI,Urbano,planes_circuitales\Florida.pdf
7,QAA,28793,30041,Joaquín Suarez No 3437,Liceo No 2,400.0,SI,Urbano,planes_circuitales\Florida.pdf
8,QAA,30042,31421,Joaquín Suarez No 3437,Liceo No 2,400.0,SI,Urbano,planes_circuitales\Florida.pdf
9,QAA,31422,32515,Joaquín Suarez No 3437,Liceo No 2,400.0,NO,Urbano,planes_circuitales\Florida.pdf
10,QAA,32516,33398,Joaquín Suarez No 3437,Liceo No 2,400.0,NO,Urbano,planes_circuitales\Florida.pdf
11,QAA,33399,34123,Joaquín Suarez No 3437,Liceo No 2,400.0,NO,Urbano,planes_circuitales\Florida.pdf
12,QAA,34124,34957,Gral. Flores esq. Independencia,Colegio del Huerto,400.0,NO,Urbano,planes_circuitales\Florida.pdf
13,QAA,34958,35853,Gral. Flores esq. Independencia,Colegio del Huerto,400.0,NO,Urbano,planes_circuitales\Florida.pdf
14,QAA,35854,36780,Gral. Flores esq. Independencia,Colegio del Huerto,400.0,NO,Urbano,planes_circuitales\Florida.pdf
15,QAA,36781,37855,Gral. Flores esq. Independencia,Colegio del Huerto,400.0,NO,Urbano,planes_circuitales\Florida.pdf
16,QAA,37856,38829,Antonio Ma Fernandez esq. Rodó,Escuela No 1 Artigas,400.0,SI,Urbano,planes_circuitales\Florida.pdf
17,QAA,38830,39502,Antonio Ma Fernandez esq. Rodó,Escuela No 1 Artigas,400.0,SI,Urbano,planes_circuitales\Florida.pdf
18,QAA,39503,40236,Antonio Ma Fernandez esq. Rodó,Escuela No 1 Artigas,400.0,SI,Urbano,planes_circuitales\Florida.pdf
