Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,SAA,1,18182,Minas,B.P.S.- Roosevelt 665,410,S,Urbano,planes_circuitales\Lavalleja.pdf
2,SAA,18183,20546,Minas,B.P.S.- Roosevelt 665,410,S,Urbano,planes_circuitales\Lavalleja.pdf
3,SAA,20547,22630,Minas,D.G.I.-Roosevelt 653,410,S,Urbano,planes_circuitales\Lavalleja.pdf
4,SAA,22631,24535,Minas,CLUB MINAS-Treinta y Tres 648,410,N,Urbano,planes_circuitales\Lavalleja.pdf
5,SAA,24536,25826,Minas,CLUB MINAS-Treinta y Tres 648,410,N,Urbano,planes_circuitales\Lavalleja.pdf
6,SAA,25827,27245,Minas,JUZGADO DE PAZ-T.y Tres 638,410,N,Urbano,planes_circuitales\Lavalleja.pdf
7,SAA,27246,28414,Minas,HOGAR ESTUDIANTIL-T.y Tres 681,410,N,Urbano,planes_circuitales\Lavalleja.pdf
8,SAA,28415,29489,Minas,HOGAR ESTUDIANTIL-T.y Tres 681,410,N,Urbano,planes_circuitales\Lavalleja.pdf
9,SAA,29490,30515,Minas,JARDIN  No 111-Williman y E. Moré,410,S,Urbano,planes_circuitales\Lavalleja.pdf
10,SAA,30516,31485,Minas,JARDIN  No 111-Williman y E. Moré,410,S,Urbano,planes_circuitales\Lavalleja.pdf
11,SAA,31486,32685,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
12,SAA,32686,33489,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
13,SAA,33490,34352,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
14,SAA,34353,35173,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
15,SAA,35174,36152,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
16,SAA,36153,36791,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
17,SAA,36792,37442,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
18,SAA,37443,38357,Minas,LICEO No 3-Ituzaingó y E. Ladós,410,S,Urbano,planes_circuitales\Lavalleja.pdf
19,SAA,38358,39378,Minas,LICEO No 2-Dr. Rivero y Guernica,410,S,Urbano,planes_circuitales\Lavalleja.pdf
20,SAA,39379,39986,Minas,LICEO No 2-Dr. Rivero y Guernica,410,S,Urbano,planes_circuitales\Lavalleja.pdf
21,SAA,39987,40780,Minas,LICEO No 2-Dr. Rivero y Guernica,410,S,Urbano,planes_circuitales\Lavalleja.pdf
22,SAA,40781,41397,Minas,ESCUELA No 7-Z.Michellini y Guernica,400,S,Urbano,planes_circuitales\Lavalleja.pdf
23,SAA,41398,42169,Minas,COLEGIO SAN JOSÉ-Avda. Artigas 1266,400,S,Urbano,planes_circuitales\Lavalleja.pdf
24,SAA,42170,42715,Minas,COLEGIO SAN JOSÉ-Avda. Artigas 1266,400,S,Urbano,planes_circuitales\Lavalleja.pdf
25,SAA,42716,43342,Minas,ESCUELA No 11-Avda.Artigas s/n,400,S,Urbano,planes_circuitales\Lavalleja.pdf
26,SAA,43343,43930,Minas,ESCUELA No 11-Avda.Artigas s/n,400,S,Urbano,planes_circuitales\Lavalleja.pdf
27,SAA,43931,44524,Minas,ESCUELA No 11-Avda.Artigas s/n,400,S,Urbano,planes_circuitales\Lavalleja.pdf
28,SAA,44525,45137,Minas,ESCUELA No 11-Avda.Artigas s/n,400,S,Urbano,planes_circuitales\Lavalleja.pdf
29,SAA,45138,45742,Minas,ESCUELA No 8-J.Batlle y Ord.884,400,S,Urbano,planes_circuitales\Lavalleja.pdf
