Unnamed: 0,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,DAA,1,10205,Maldonado,"Casa de la Cultura, Perez del Puerto No 745",410,S,N,planes_circuitales\Maldonado.pdf
2,DAA,10206,12501,Maldonado,"Casa de la Cultura, Perez del Puerto No 745",410,S,N,planes_circuitales\Maldonado.pdf
3,DAA,12502,14367,Maldonado,"Casa de la Cultura, Puerta de los Leones",410,S,N,planes_circuitales\Maldonado.pdf
4,DAA,14368,15937,Maldonado,"Casa de la Cultura, Puerta de los Leones",410,S,N,planes_circuitales\Maldonado.pdf
5,DAA,15938,17318,Maldonado,"Casa de la Cultura, Teatro",410,S,N,planes_circuitales\Maldonado.pdf
6,DAA,17319,18680,Maldonado,"Casa de la Cultura, Teatro",410,S,N,planes_circuitales\Maldonado.pdf
7,DAA,18681,19784,Maldonado,"Inst. de Form. Docente, R. P. del Puerto c/Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
8,DAA,19785,21005,Maldonado,"Inst. de Form. Docente, R. P. del Puerto c/Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
9,DAA,21006,22030,Maldonado,"Inst. de Form. Docente, R. P. del Puerto c/Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
10,DAA,22031,22945,Maldonado,"Inst. de Form. Docente, R. P. del Puerto c/Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
11,DAA,22946,23849,Maldonado,"Paseo San Fernando, Sarandí c/ 25 de mayo",410,S,N,planes_circuitales\Maldonado.pdf
12,DAA,23850,24680,Maldonado,"Paseo San Fernando, Sarandí c/ 25 de mayo",410,S,N,planes_circuitales\Maldonado.pdf
13,DAA,24681,25679,Maldonado,"Paseo San Fernando, 25 de mayo c/ Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
14,DAA,25680,26746,Maldonado,"Paseo San Fernando, 25 de mayo c/ Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
15,DAA,26747,27522,Maldonado,"Paseo San Fernando, 25 de mayo c/ Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
16,DAA,27523,28752,Maldonado,"Paseo San Fernando, 25 de mayo c/ Sarandí",410,S,N,planes_circuitales\Maldonado.pdf
17,DAA,28753,30251,Maldonado,"CACEPA, Arturo Santana c/ Román Guerra",400,S,N,planes_circuitales\Maldonado.pdf
18,DAA,30252,31212,Maldonado,"ADEOM, Román Guerra esq. Ituzaingó",400,S,N,planes_circuitales\Maldonado.pdf
19,DAA,31213,31977,Maldonado,"ADEOM, Román Guerra esq. Ituzaingó",400,S,N,planes_circuitales\Maldonado.pdf
20,DAA,31978,32678,Maldonado,"entro Comerciantes Minoristas, Ventura Alegre c/ Rinc",n400,S,N,planes_circuitales\Maldonado.pdf
21,DAA,32679,33421,Maldonado,"Inst. Inglés United Kingdom, Rincón y Ventura Alegre",400,S,N,planes_circuitales\Maldonado.pdf
22,DAA,33422,34109,Maldonado,"Centro de Militares Retirados, Rincón y Dr. Edye",400,S,N,planes_circuitales\Maldonado.pdf
23,DAA,34110,34851,Maldonado,"Liceo Padre Domingo, Ventura Alegre c/ Rincón",400,S,N,planes_circuitales\Maldonado.pdf
24,DAA,34852,35693,Maldonado,"Liceo Padre Domingo, Ventura Alegre c/ Rincón",400,S,N,planes_circuitales\Maldonado.pdf
25,DAA,35694,36544,Maldonado,"Liceo Padre Domingo, Ventura Alegre c/ Rincón",400,S,N,planes_circuitales\Maldonado.pdf
26,DAA,36545,37722,Maldonado,"Escuela Enfermería, Rincón 771",400,S,N,planes_circuitales\Maldonado.pdf
27,DAA,37723,38602,Maldonado,"Asociación Escribanos, Treinta y Tres c/ Sarandí",400,S,N,planes_circuitales\Maldonado.pdf
28,DAA,38603,39215,Maldonado,"Iglesia Jesucristo S.U.D., Florida c/ San Carlos",400,S,N,planes_circuitales\Maldonado.pdf
29,DAA,39216,39789,Maldonado,"Iglesia Jesucristo S.U.D., Florida c/ San Carlos",400,S,N,planes_circuitales\Maldonado.pdf
30,DAA,39790,40366,Maldonado,"Iglesia Jesucristo S.U.D., Florida c/ San Carlos",400,S,N,planes_circuitales\Maldonado.pdf
31,DAA,40367,40978,Maldonado,"I.T.T.C. (Ex CODEPAL), Avda. Aiguá y Bvar. Artigas",400,S,N,planes_circuitales\Maldonado.pdf
32,DAA,40979,41664,Maldonado,"I.T.T.C. (Ex CODEPAL), Avda. Aiguá y Bvar. Artigas",400,S,N,planes_circuitales\Maldonado.pdf
33,DAA,41665,42508,Maldonado,"I.T.T.C. (Ex CODEPAL), Avda. Aiguá y Bvar. Artigas",400,S,N,planes_circuitales\Maldonado.pdf
34,DAA,42509,43224,Maldonado,"Centro Español, 18 de julio y Arturo Santana",400,S,N,planes_circuitales\Maldonado.pdf
35,DAA,43225,44110,Maldonado,"Centro Básico Técnico, A. Santana y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
36,DAA,44111,44873,Maldonado,"Centro Básico Técnico, A. Santana y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
37,DAA,44874,45777,Maldonado,"Centro Básico Técnico, A. Santana y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
38,DAA,45778,46543,Maldonado,"Centro Básico Técnico, A. Santana y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
39,DAA,46544,47155,Maldonado,"Centro Básico Técnico, R. Pérez del Puerto",400,S,N,planes_circuitales\Maldonado.pdf
40,DAA,47156,47737,Maldonado,"Centro Básico Técnico, R. Pérez del Puerto",400,S,N,planes_circuitales\Maldonado.pdf
41,DAA,47738,48535,MaldonadoM,nisterio Vivienda y O. Territorial. Dodera 717 c/ A. Sant,na400,S,N,planes_circuitales\Maldonado.pdf
42,DAA,48536,49345,Maldonado,"Oficina de Trabajo, 18 de julio y Treinta y Tres",400,S,N,planes_circuitales\Maldonado.pdf
43,DAA,49346,50056,Maldonado,"Escuela No 2, Michelini c/ 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
44,DAA,50057,50737,Maldonado,"Escuela No 2, Michelini c/ 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
45,DAA,50738,51399,Maldonado,"Escuela No 2, Michelini c/ 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
46,DAA,51400,52092,Maldonado,"Escuela No 2, Michelini c/ 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
47,DAA,52093,52839,Maldonado,"Escuela No 2, Michelini c/ 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
48,DAA,52840,53539,Maldonado,"Escuela No 2, Michelini c/ 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
49,DAA,53540,54266,Maldonado,"Escuela No 2, Michelini c/ 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
50,DAA,54267,54959,Maldonado,"Colegio Santander, Dodera y 25 de mayo",400,S,N,planes_circuitales\Maldonado.pdf
51,DAA,54960,55680,Maldonado,"Colegio Santander, 25 de mayo c/ Dodera",400,S,N,planes_circuitales\Maldonado.pdf
52,DAA,55681,56408,Maldonado,"Colegio Santander, 25 de mayo c/ Dodera",400,S,N,planes_circuitales\Maldonado.pdf
53,DAA,56409,57322,Maldonado,"Obispado, Dodera (Entrada Principal)",400,S,N,planes_circuitales\Maldonado.pdf
54,DAA,57323,58250,Maldonado,"Obispado, Dodera (por Portón)",400,S,N,planes_circuitales\Maldonado.pdf
55,DAA,58251,58908,Maldonado,"Casa Parroquial, Florida c/ Dodera",400,S,N,planes_circuitales\Maldonado.pdf
56,DAA,58909,59532,Maldonado,"Teatro Paz y Unión, Dodera y Florida",400,S,N,planes_circuitales\Maldonado.pdf
57,DAA,59533,60113,Maldonado,"Asoc. Func. de Casinos, Solís y Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
58,DAA,60114,60751,Maldonado,"Asoc. Venderores Diarios y Rev., Z. Michelini c/ Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
59,DAA,60752,61361,Maldonado,"Asoc. Venderores Diarios y Rev., Z. Michelini c/ Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
60,DAA,61362,61942,MaldonadoAs,"c. Cristiana Femenina, Zelmar Michelini c/ Ventura Ale",re400,S,N,planes_circuitales\Maldonado.pdf
61,DAA,61943,62618,Maldonado,".E.E. (Int. Educ. Evangélico), Guavirá c/ Joaquín de Vian",400,S,N,planes_circuitales\Maldonado.pdf
62,DAA,62619,63217,Maldonado,".E.E. (Int. Educ. Evangélico), Guavirá c/ Joaquín de Vian",400,S,N,planes_circuitales\Maldonado.pdf
63,DAA,63218,63841,Maldonado,"HEMOVIDA, Ventura Alegre y Las Dalias",400,S,N,planes_circuitales\Maldonado.pdf
64,DAA,63842,64443,Maldonado,"HEMOVIDA, Ventura Alegre y Las Dalias",400,S,N,planes_circuitales\Maldonado.pdf
65,DAA,64444,65029,Maldonado,"CEI (ORT), Rincón y Dr. Edye",400,S,N,planes_circuitales\Maldonado.pdf
66,DAA,65030,65614,Maldonado,"CEI (ORT), Rincón y Dr. Edye",400,S,N,planes_circuitales\Maldonado.pdf
67,DAA,65615,66243,Maldonado,"Colegio HH CC, Dr. Edye c/ Román Guerra",400,S,N,planes_circuitales\Maldonado.pdf
68,DAA,66244,66887,Maldonado,"Colegio HH CC, Dr. Edye c/ Román Guerra",400,S,N,planes_circuitales\Maldonado.pdf
69,DAA,66888,67561,Maldonado,"Colegio HH CC, Dr. Edye c/ Román Guerra",400,S,N,planes_circuitales\Maldonado.pdf
70,DAA,67562,68201,Maldonado,"Colegio HH CC, Dr. Edye c/ Román Guerra",400,S,N,planes_circuitales\Maldonado.pdf
71,DAA,68202,68902,Maldonado,"Colegio HH CC, R. Guerra y Dr. Edye",400,S,N,planes_circuitales\Maldonado.pdf
72,DAA,68903,69645,Maldonado,"Colegio HH CC, R. Guerra y Dr. Edye",400,S,N,planes_circuitales\Maldonado.pdf
73,DAA,69646,70285,Maldonado,"Escuela No 1, Román Guerra y Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
74,DAA,70286,71067,Maldonado,"Escuela No 1, Román Guerra y Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
75,DAA,71068,71742,Maldonado,"Escuela No 1, Román Guerra y Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
76,DAA,71743,72378,Maldonado,"Escuela No 1, Román Guerra y Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
77,DAA,72379,72952,Maldonado,"Escuela No 1, Román Guerra y Bergalli",400,S,N,planes_circuitales\Maldonado.pdf
78,DAA,72953,73550,Maldonado,"Inspección de Escuelas, Román Guerra y J. Pedro Varela",400,S,N,planes_circuitales\Maldonado.pdf
79,DAA,73551,74103,Maldonado,"Escuela No 97, Rincón y J. Pedro Varela",400,S,N,planes_circuitales\Maldonado.pdf
80,DAA,74104,74645,Maldonado,"Escuela No 97, Rincón y J. Pedro Varela",400,S,N,planes_circuitales\Maldonado.pdf
81,DAA,74646,75201,Maldonado,"Inst. Fernandino, Rincón c/ G. Ruiz",400,S,N,planes_circuitales\Maldonado.pdf
82,DAA,75202,75776,Maldonado,"Inst. Fernandino, Rincón c/ G. Ruiz",400,S,N,planes_circuitales\Maldonado.pdf
83,DAA,75777,76323,Maldonado,"Inst. Fernandino, Rincón c/ G. Ruiz",400,S,N,planes_circuitales\Maldonado.pdf
84,DAA,76324,76847,Maldonado,"Inst. Fernandino, Rincón c/ G. Ruiz",400,S,N,planes_circuitales\Maldonado.pdf
85,DAA,76848,77390,Maldonado,Inst. Latinoamericano,400,S,N,planes_circuitales\Maldonado.pdf
86,DAA,77391,77918,Maldonado,Inst. Latinoamericano,400,S,N,planes_circuitales\Maldonado.pdf
87,DAA,77919,78455,Maldonado,"Colegio Maldonado, Avda. Lavalleja y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
88,DAA,78456,79022,Maldonado,"Colegio Maldonado, Avda. Lavalleja y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
89,DAA,79023,79558,Maldonado,"Colegio Maldonado, Avda. Lavalleja y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
90,DAA,79559,80117,Maldonado,"Colegio Maldonado, Avda. Lavalleja y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
91,DAA,80118,80656,Maldonado,"Colegio Maldonado, Avda. Lavalleja y 18 de julio",400,S,N,planes_circuitales\Maldonado.pdf
92,DAA,80657,81185,Maldonado,"AEBU, Avda. Batlle y Ordoñez",400,S,N,planes_circuitales\Maldonado.pdf
93,DAA,81186,81688,Maldonado,"AEBU, Avda. Batlle y Ordoñez",400,S,N,planes_circuitales\Maldonado.pdf
94,DAA,81689,82280,Maldonado,"Comunal El Molino, Calle Hernandarias",400,S,N,planes_circuitales\Maldonado.pdf
95,DAA,82281,82853,Maldonado,"Escuela No 7, Avda. Batlle y Ordoñez c/ 17 mts.",400,N,N,planes_circuitales\Maldonado.pdf
96,DAA,82854,83391,Maldonado,"Escuela No 7, Avda. Batlle y Ordoñez c/ 17 mts.",400,N,N,planes_circuitales\Maldonado.pdf
97,DAA,83392,83906,Maldonado,"Escuela No 7, Avda. Batlle y Ordoñez c/ 17 mts.",400,N,N,planes_circuitales\Maldonado.pdf
98,DAA,83907,84472,Maldonado,"Liceo No 2, E. Acevedo y Batlle y Ordoñez",400,S,N,planes_circuitales\Maldonado.pdf
99,DAA,84473,85002,Maldonado,"Liceo No 2, E. Acevedo y Batlle y Ordoñez",400,S,N,planes_circuitales\Maldonado.pdf
100,DAA,85003,85511,Maldonado,"Liceo No 2, E. Acevedo y Batlle y Ordoñez",400,S,N,planes_circuitales\Maldonado.pdf
101,DAA,85512,86001,Maldonado,"Liceo No 2, E. Acevedo y Batlle y Ordoñez",400,S,N,planes_circuitales\Maldonado.pdf
102,DAA,86002,86522,Maldonado,"Junta Deptal, 18 de julio s/ No (Entrada Principal)",400,S,N,planes_circuitales\Maldonado.pdf
103,DAA,86523,87033,Maldonado,"Junta Deptal, 18 de julio s/ No (Entrada Principal)",400,S,N,planes_circuitales\Maldonado.pdf
104,DAA,87034,87538,Maldonado,"Junta Deptal, 18 de julio s/No (Puerta de Personal)",400,S,N,planes_circuitales\Maldonado.pdf
105,DAA,87539,88028,Maldonado,"Junta Deptal, Dodera s/ No",400,S,N,planes_circuitales\Maldonado.pdf
106,DAA,88029,88528,Maldonado,"OSE, Ledesma y Sarandí",400,S,N,planes_circuitales\Maldonado.pdf
107,DAA,88529,89002,Maldonado,"Liceo Deptal, Acuña de Figueroa c/ 3 de febrero",400,S,N,planes_circuitales\Maldonado.pdf
108,DAA,89003,89504,Maldonado,"Liceo Deptal, Acuña de Figueroa c/ 3 de febrero",400,S,N,planes_circuitales\Maldonado.pdf
109,DAA,89505,89980,Maldonado,"Liceo Deptal, Acuña de Figueroa c/ 3 de febrero",400,S,N,planes_circuitales\Maldonado.pdf
110,DAA,89981,90457,Maldonado,"Liceo Deptal, Acuña de Figueroa c/ 3 de febrero",400,S,N,planes_circuitales\Maldonado.pdf
111,DAA,90458,90943,Maldonado,"Liceo Deptal, Acuña de Figueroa c/ 3 de febrero",400,S,N,planes_circuitales\Maldonado.pdf
112,DAA,90944,91463,Maldonado,"Liceo Deptal, Acuña de Figueroa c/ 3 de febrero",400,S,N,planes_circuitales\Maldonado.pdf
113,DAA,91464,91989,Maldonado,"Liceo Deptal, Acuña de Figueroa c/ 3 de febrero",400,S,N,planes_circuitales\Maldonado.pdf
114,DAA,91990,92552,Maldonado,"Hall Piscina Campus, 3 de Febrero y Rincón",400,S,N,planes_circuitales\Maldonado.pdf
115,DAA,92553,93086,Maldonado,"Hall Piscina Campus, 3 de Febrero y Rincón",400,S,N,planes_circuitales\Maldonado.pdf
116,DAA,93087,93622,Maldonado,"Hall Estadio, 3 de febrero y Rincón",400,S,N,planes_circuitales\Maldonado.pdf
117,DAA,93623,94132,Maldonado,"Hall Estadio, 3 de febrero y Rincón",400,S,N,planes_circuitales\Maldonado.pdf
118,DAA,94133,94648,Maldonado,"Jardín No 4, Bo. Mónaco",400,S,N,planes_circuitales\Maldonado.pdf
119,DAA,94649,95156,Maldonado,"Jardín No 4, Bo. Mónaco",400,S,N,planes_circuitales\Maldonado.pdf
120,DAA,95157,95683,Maldonado,"Asociación Jubilados, Bo. Mónaco",400,S,N,planes_circuitales\Maldonado.pdf
121,DAA,95684,96197,Maldonado,"Asociación Jubilados, Bo. Mónaco",400,S,N,planes_circuitales\Maldonado.pdf
122,DAA,96198,96738,Maldonado,"Colegio IBS, Islandia y Luxemburgo",400,S,N,planes_circuitales\Maldonado.pdf
123,DAA,96739,97249,Maldonado,"Colegio IBS, Islandia y Luxemburgo",400,S,N,planes_circuitales\Maldonado.pdf
124,DAA,97250,97725,Maldonado,"Colegio IBS, Islandia y Luxemburgo",400,S,N,planes_circuitales\Maldonado.pdf
125,DAA,97726,98198,Maldonado,"Escuela No 84, Calle San Martín",400,N,N,planes_circuitales\Maldonado.pdf
126,DAA,98199,98696,Maldonado,"Escuela No 82, Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
127,DAA,98697,99165,Maldonado,"Escuela No 82, Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
128,DAA,99166,99608,Maldonado,"Escuela No 82, Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
129,DAA,99609,100063,Maldonado,"Liceo No 4, Cámpora S/No. Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
130,DAA,100064,100506,Maldonado,"Liceo No 4, Cámpora S/No. Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
131,DAA,100507,100952,Maldonado,"Liceo No 4, Cámpora S/No. Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
132,DAA,100953,101395,Maldonado,"Liceo No 4, Cámpora S/No. Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
133,DAA,101396,101833,Maldonado,"Liceo No 4, Cámpora S/No. Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
134,DAA,101834,102251,Maldonado,"Liceo No 4, Cámpora S/No. Cachimba del Rey",400,S,N,planes_circuitales\Maldonado.pdf
135,DAA,102252,102664,Maldonado,"Instituto de Profesores, Cámpora y de la Virgen",400,S,N,planes_circuitales\Maldonado.pdf
136,DAA,102665,103069,Maldonado,"Instituto de Profesores, Cámpora y de la Virgen",400,S,N,planes_circuitales\Maldonado.pdf
137,DAA,103070,103483,Maldonado,"Instituto de Profesores, Cámpora y de la Virgen",400,S,N,planes_circuitales\Maldonado.pdf
138,DAA,103484,103888,Maldonado,"Instituto de Profesores, Cámpora y de la Virgen",400,S,N,planes_circuitales\Maldonado.pdf
139,DAA,103889,104292,Maldonado,"Instituto de Profesores, Cámpora y de la Virgen",400,S,N,planes_circuitales\Maldonado.pdf
140,DAA,104293,104754,Maldonado,"Instituto de Profesores, Cámpora y de la Virgen",402,S,N,planes_circuitales\Maldonado.pdf
141,DAD,1,353,Punta Ballena,Escuela No 36.,281,S,N,planes_circuitales\Maldonado.pdf
142,DAD,354,699,Punta Ballena,Escuela No 36.,281,S,N,planes_circuitales\Maldonado.pdf
143,DAD,700,995,Punta Ballena,Arboretum de Lussich,283,N,N,planes_circuitales\Maldonado.pdf
144,DAE,1,430,Pinares,"Escuela No 27, Bo. INVE",390,S,N,planes_circuitales\Maldonado.pdf
145,DAE,431,857,Pinares,"Escuela No 27, Bo. INVE",390,S,N,planes_circuitales\Maldonado.pdf
146,DAE,858,1274,Pinares,"Escuela No 27, Bo. INVE",390,S,N,planes_circuitales\Maldonado.pdf
147,DAE,1275,1683,Pinares,"Colegio Pinares del Este, Los Gladiolos y Las Begonias",390,S,N,planes_circuitales\Maldonado.pdf
148,DAE,1684,2087,Pinares,"Colegio Pinares del Este, Los Gladiolos y Las Begonias",390,S,N,planes_circuitales\Maldonado.pdf
149,DAE,2088,2488,Pinares,"Colegio Pinares del Este, Los Gladiolos y Las Begonias",390,S,N,planes_circuitales\Maldonado.pdf
150,DAE,2489,2882,Pinares,"Liceo No 5, Lavalleja y Joaquín de Viana",390,S,N,planes_circuitales\Maldonado.pdf
151,DAE,2883,3279,Pinares,"Liceo No 5, Lavalleja y Joaquín de Viana",390,S,N,planes_circuitales\Maldonado.pdf
152,DAE,3280,3674,Pinares,"Liceo No 5, Lavalleja y Joaquín de Viana",390,S,N,planes_circuitales\Maldonado.pdf
153,DAE,3675,4106,Pinares,"Liceo No 5, Lavalleja y Joaquín de Viana",390,S,N,planes_circuitales\Maldonado.pdf
154,DAF,1,434,Cerro Pelado,"Escuela No 107, Sierras de las Cañas y 17 mts.",396,S,N,planes_circuitales\Maldonado.pdf
155,DAF,435,872,Cerro Pelado,"Escuela No 107, Sierras de las Cañas y 17 mts.",396,S,N,planes_circuitales\Maldonado.pdf
156,DAF,873,1295,Cerro Pelado,"Escuela No 107, Sierras de las Cañas y 17 mts.",396,S,N,planes_circuitales\Maldonado.pdf
157,DAF,1296,1715,Cerro Pelado,"Escuela No 96, Sierras de Aceguá",396,S,N,planes_circuitales\Maldonado.pdf
158,DAF,1716,2150,Cerro Pelado,"Escuela No 96, Sierras de Aceguá",396,S,N,planes_circuitales\Maldonado.pdf
159,DAF,2151,2589,Cerro Pelado,Jardín No 105. Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
160,DAF,2590,3005,Cerro Pelado,Jardín No 105. Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
161,DAF,3006,3437,Cerro Pelado,Policlínica Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
162,DAF,3438,3850,Cerro Pelado,Polideportivo Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
163,DAF,3851,4257,Cerro Pelado,UTU Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
164,DAF,4258,4664,Cerro Pelado,UTU Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
165,DAF,4665,5076,Cerro Pelado,UTU Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
166,DAF,5077,5476,Cerro Pelado,Comunal Villa Delia,396,S,N,planes_circuitales\Maldonado.pdf
167,DAF,5477,5879,Cerro Pelado,Comunal Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
168,DAF,5880,6334,Cerro Pelado,Comunal Cerro Pelado,396,S,N,planes_circuitales\Maldonado.pdf
169,DAG,1,415,Hipódromo,"CAIF, Bo. Hipódromo. Calle 1 c/ Calle 8",369,S,N,planes_circuitales\Maldonado.pdf
170,DAG,416,808,Hipódromo,"CAIF, Bo. Hipódromo. Calle 1 c/ Calle 8",369,S,N,planes_circuitales\Maldonado.pdf
171,DAG,809,1193,Hipódromo,"CAIF, Bo. Hipódromo. Calle 1 c/ Calle 8",370,S,N,planes_circuitales\Maldonado.pdf
172,DAH,1,457,Mldo. NuevoCo,"p. Cultural Mldo. Nuevo, A. Paravera c/ Bartolomé Ho",el410,S,N,planes_circuitales\Maldonado.pdf
173,DAH,458,902,Mldo. NuevoCo,"p. Cultural Mldo. Nuevo, A. Paravera c/ Bartolomé Ho",el400,S,N,planes_circuitales\Maldonado.pdf
174,DAH,903,1327,Mldo. NuevoCo,"p. Cultural Mldo. Nuevo, A. Paravera c/ Bartolomé Ho",el400,S,N,planes_circuitales\Maldonado.pdf
175,DAH,1328,1776,Mldo. Nuevo,"Escuela No 95, Caracara y Mevoipe",400,S,N,planes_circuitales\Maldonado.pdf
176,DAH,1777,2197,Mldo. Nuevo,"Escuela No 95, Caracara y Mevoipe",400,S,N,planes_circuitales\Maldonado.pdf
177,DAH,2198,2632,Mldo. Nuevo,"Jardín No 94, Agapito Paravera y Leandro Gómez",400,S,N,planes_circuitales\Maldonado.pdf
178,DAH,2633,3065,Mldo. Nuevo,"Jardín No 94, Agapito Paravera y Leandro Gómez",400,S,N,planes_circuitales\Maldonado.pdf
179,DAH,3066,3500,Mldo. Nuevo,"Jardín No 94, Agapito Paravera y Leandro Gómez",400,S,N,planes_circuitales\Maldonado.pdf
180,DAH,3501,3937,Mldo. Nuevo,"Jardín No 94, Agapito Paravera y Leandro Gómez",400,S,N,planes_circuitales\Maldonado.pdf
181,DAH,3938,4376,Mldo. Nuevo,"Escuela No 87/91, simón del Pino c/ Caracara",400,S,N,planes_circuitales\Maldonado.pdf
182,DAH,4377,4794,Mldo. Nuevo,"Escuela No 93, Cno. de los Gauchos y Uruguay",400,S,N,planes_circuitales\Maldonado.pdf
183,DAH,4795,5215,Mldo. Nuevo,"Escuela No 93, Cno. de los Gauchos y Uruguay",400,S,N,planes_circuitales\Maldonado.pdf
184,DAH,5216,5631,Mldo. Nuevo,"Escuela No 93, Cno. de los Gauchos y Uruguay",400,S,N,planes_circuitales\Maldonado.pdf
185,DAH,5632,6049,Mldo. Nuevo,"Escuela No 93, Cno. de los Gauchos y Uruguay",400,S,N,planes_circuitales\Maldonado.pdf
186,DAH,6050,6465,Mldo. Nuevo,"Colegio Biarritz, Serafín J. García",400,S,N,planes_circuitales\Maldonado.pdf
187,DAH,6466,6871,Mldo. Nuevo,"Colegio Biarritz, Serafín J. García",400,S,N,planes_circuitales\Maldonado.pdf
188,DAH,6872,7284,Mldo. Nuevo,"Comunal Lomas-Santa Teresita, Calle Carmelo Colman",400,S,N,planes_circuitales\Maldonado.pdf
189,DAH,7285,7693,Mldo. Nuevo,"Municipio de Maldonado, Batalla del Cerrito",400,S,N,planes_circuitales\Maldonado.pdf
190,DAH,7694,8099,Mldo. Nuevo,"Municipio de Maldonado, Batalla del Cerrito",400,S,N,planes_circuitales\Maldonado.pdf
191,DAH,8100,8509,Mldo. Nuevo,"Centro Diurno, Bo. Odizzio",400,S,N,planes_circuitales\Maldonado.pdf
192,DAH,8510,8922,Mldo. Nuevo,"CURE, Calle Tacuarembó",400,S,N,planes_circuitales\Maldonado.pdf
193,DAH,8923,9388,Mldo. Nuevo,"CURE, Calle Tacuarembó",408,S,N,planes_circuitales\Maldonado.pdf
194,DAI,1,277,El Jagüel,"CURE, Calle Tacuarembó",245,S,N,planes_circuitales\Maldonado.pdf
195,DAI,278,533,El Jagüel,"CURE, Calle Tacuarembó",246,S,N,planes_circuitales\Maldonado.pdf
196,DAJ,1,395,Las Delicias,"Club de Leones Mldo., Calle Melvin Jones",371,S,N,planes_circuitales\Maldonado.pdf
197,DAJ,396,792,Las Delicias,"Of. de la Juventud, Honduras y Joaquín de Viana",371,S,N,planes_circuitales\Maldonado.pdf
198,DAJ,793,1172,Las Delicias,"CACESMA, Avda. España y 7 Cabritos",371,S,N,planes_circuitales\Maldonado.pdf
199,DAK,1,447,Cantegril,St. JosephMary College. Gral José de San Martín,400,S,N,planes_circuitales\Maldonado.pdf
200,DAK,448,879,Cantegril,St. JosephMary College. Gral José de San Martín,400,S,N,planes_circuitales\Maldonado.pdf
DAK,880,1294,Cantegril,Woodside School. Mercedes esq.  Louvre,400,S,N,,planes_circuitales\Maldonado.pdf
202,DAK,1295,1728,Cantegril,Woodside School. Mercedes esq.  Louvre,408,S,N,planes_circuitales\Maldonado.pdf
203,DAB,1,4143,Punta del Este,"Escuela No 5, Gorlero y Calle 23",407,S,N,planes_circuitales\Maldonado.pdf
204,DAB,4144,5358,Punta del Este,"Escuela No 5, Gorlero y Calle 23",397,S,N,planes_circuitales\Maldonado.pdf
205,DAB,5359,6545,Punta del Este,"Alcaldía de Punta del Este, Gorlero y Calle 20",397,S,N,planes_circuitales\Maldonado.pdf
206,DAB,6546,7506,Punta del Este,"Liga de fomento, Rambla. Pda. 1",397,S,N,planes_circuitales\Maldonado.pdf
207,DAB,7507,8431,Punta del Este,"Liga de fomento, Rambla. Pda. 1",397,S,N,planes_circuitales\Maldonado.pdf
