Circuito,Serie,Desde,Hasta,Direccion,Local,Accesible,Unnamed: 0,Local Accesible,Direccion Local,file
1.0,AAA,1.0,6604.0,ZABALA 1427 esq. 25 DE MAYO,CENTRO DE COMERCIO EXTERIOR Y ADUANA,SI,,,,planes_circuitales\Montevideo.pdf
2.0,AAA,6605.0,7838.0,ZABALA 1427 esq. 25 DE MAYO,CENTRO DE COMERCIO EXTERIOR Y ADUANA,SI,,,,planes_circuitales\Montevideo.pdf
3.0,AAA,7839.0,9788.0,ZABALA 1427 esq. 25 DE MAYO,CENTRO DE COMERCIO EXTERIOR Y ADUANA,SI,,,,planes_circuitales\Montevideo.pdf
4.0,AAA,9789.0,10573.0,ZABALA 1427 esq. 25 DE MAYO,CENTRO DE COMERCIO EXTERIOR Y ADUANA,SI,,,,planes_circuitales\Montevideo.pdf
5.0,AAA,10574.0,11351.0,ZABALA 1427 esq. 25 DE MAYO,CENTRO DE COMERCIO EXTERIOR Y ADUANA,SI,,,,planes_circuitales\Montevideo.pdf
6.0,AAA,11352.0,11963.0,SARANDÍ 472 esq. TREINTA Y TRES,ESCUELA DE ARTES Y ARTESANÍAS PEDRO FIGARI - ANEXO,NO,,,,planes_circuitales\Montevideo.pdf
7.0,AAA,11964.0,12559.0,SARANDÍ 472 esq. TREINTA Y TRES,ESCUELA DE ARTES Y ARTESANÍAS PEDRO FIGARI - ANEXO,NO,,,,planes_circuitales\Montevideo.pdf
8.0,AAA,12560.0,13105.0,SARANDÍ 472 esq. TREINTA Y TRES,ESCUELA DE ARTES Y ARTESANÍAS PEDRO FIGARI - ANEXO,NO,,,,planes_circuitales\Montevideo.pdf
9.0,AAA,13106.0,13622.0,ZABALA 1480 esq. CERRITO,INSTITUTO NACIONAL DE ARTES ESCENICAS,NO,,,,planes_circuitales\Montevideo.pdf
10.0,AAA,13623.0,14083.0,ZABALA 1480 esq. CERRITO,INSTITUTO NACIONAL DE ARTES ESCENICAS,NO,,,,planes_circuitales\Montevideo.pdf
11.0,AAA,14084.0,14548.0,SARANDÍ 332 esq. ALZAIBAR,BPS - HISTORIA LABORAL,NO,,,,planes_circuitales\Montevideo.pdf
12.0,AAA,14549.0,14983.0,SARANDÍ 332 esq. ALZAIBAR,BPS - HISTORIA LABORAL,NO,,,,planes_circuitales\Montevideo.pdf
13.0,AAA,14984.0,15394.0,CERRITO 318 esq. COLÓN,MINISTERIO DE GANADERÍA AGRICULTURA Y PESCA,NO,,,,planes_circuitales\Montevideo.pdf
14.0,AAA,15395.0,15796.0,CERRITO 318 esq. COLÓN,MINISTERIO DE GANADERÍA AGRICULTURA Y PESCA,NO,,,,planes_circuitales\Montevideo.pdf
15.0,AAA,15797.0,16214.0,CERRITO 318 esq. COLÓN,MINISTERIO DE GANADERÍA AGRICULTURA Y PESCA,NO,,,,planes_circuitales\Montevideo.pdf
16.0,AAB,1.0,7189.0,RINCON 561 esq. ITUZAINGÓ,MINISTERIO DE TRANSPORTE Y OBRAS PUBLICAS,NO,,,,planes_circuitales\Montevideo.pdf
17.0,AAB,7190.0,8795.0,RINCON 561 esq. ITUZAINGÓ,MINISTERIO DE TRANSPORTE Y OBRAS PUBLICAS,NO,,,,planes_circuitales\Montevideo.pdf
,ABA,1.0,4649.0,25 DE MAYO 402 esq. ZABALA,"MINISTERIO DE VIVIENDA, ORD. TERRITORIAL Y MEDIOAMBIENTE",NO,,,,planes_circuitales\Montevideo.pdf
18.0,,,,,,,,,,planes_circuitales\Montevideo.pdf
,ABB,1.0,4136.0,25 DE MAYO 402 esq. ZABALA,"MINISTERIO DE VIVIENDA, ORD. TERRITORIAL Y MEDIOAMBIENTE",NO,,,,planes_circuitales\Montevideo.pdf
19.0,ABB,4137.0,6002.0,25 DE MAYO 402 esq. ZABALA,"MINISTERIO DE VIVIENDA, ORD. TERRITORIAL Y MEDIOAMBIENTE",NO,,,,planes_circuitales\Montevideo.pdf
20.0,ACA,1.0,5802.0,SARANDÍ 325 esq. COLÓN,CAJA BANCARIA,SI,,,,planes_circuitales\Montevideo.pdf
21.0,ACA,5803.0,6692.0,SARANDÍ 325 esq. COLÓN,CAJA BANCARIA,SI,,,,planes_circuitales\Montevideo.pdf
22.0,ACA,6693.0,7484.0,SARANDÍ 302 esq. COLÓN,INSTITUTO NACIONAL DEL COOPERATIVISMO,NO,,,,planes_circuitales\Montevideo.pdf
23.0,ACA,7485.0,8176.0,SARANDÍ 302 esq. COLÓN,INSTITUTO NACIONAL DEL COOPERATIVISMO,NO,,,,planes_circuitales\Montevideo.pdf
24.0,ACA,8177.0,8865.0,RBLA REPÚBLICA DE FRANCIA 441 esq. MISIONES,I.N.A.U. - CENFORES,NO,,,,planes_circuitales\Montevideo.pdf
25.0,ACA,8866.0,9475.0,RBLA REPÚBLICA DE FRANCIA 441 esq. MISIONES,I.N.A.U. - CENFORES,NO,,,,planes_circuitales\Montevideo.pdf
26.0,ACA,9476.0,10036.0,RBLA REPÚBLICA DE FRANCIA 441 esq. MISIONES,I.N.A.U. - CENFORES,NO,,,,planes_circuitales\Montevideo.pdf
27.0,ACA,10037.0,10553.0,RBLA REPÚBLICA DE FRANCIA 441 esq. MISIONES,I.N.A.U. - CENFORES,NO,,,,planes_circuitales\Montevideo.pdf
28.0,ACA,10554.0,11010.0,RBLA REPÚBLICA DE FRANCIA 441 esq. MISIONES,I.N.A.U. - CENFORES,NO,,,,planes_circuitales\Montevideo.pdf
29.0,ACA,11011.0,11450.0,ALZAIBAR 1328 esq. SARANDÍ,COLEGIO BILINGÜE CIUDAD VIEJA,NO,,,,planes_circuitales\Montevideo.pdf
30.0,ACA,11451.0,11899.0,ALZAIBAR 1328 esq. SARANDÍ,COLEGIO BILINGÜE CIUDAD VIEJA,NO,,,,planes_circuitales\Montevideo.pdf
31.0,ACA,11900.0,12323.0,SARANDÍ 207 esq. FRANCISCO MACIEL,"ESCUELA No 65 ""PORTUGAL""",NO,,,,planes_circuitales\Montevideo.pdf
32.0,ACA,12324.0,12735.0,SARANDÍ 207 esq. FRANCISCO MACIEL,"ESCUELA No 65 ""PORTUGAL""",NO,,,,planes_circuitales\Montevideo.pdf
33.0,ACA,12736.0,13155.0,SARANDÍ 207 esq. FRANCISCO MACIEL,"ESCUELA No 65 ""PORTUGAL""",NO,,,,planes_circuitales\Montevideo.pdf
34.0,ACB,1.0,9034.0,SARANDÍ 207 esq. FRANCISCO MACIEL,"ESCUELA No 65 ""PORTUGAL""",NO,,,,planes_circuitales\Montevideo.pdf
35.0,ACB,9035.0,10684.0,SARANDÍ 428 esq. MISIONES,DIRECCIÓN GENERAL DEL REGISTRO CIVIL,SI,,,,planes_circuitales\Montevideo.pdf
,ACB,10685.0,11343.0,SARANDÍ 428 esq. MISIONES,DIRECCIÓN GENERAL DEL REGISTRO CIVIL,SI,,,,planes_circuitales\Montevideo.pdf
36.0,,,,,,,,,,planes_circuitales\Montevideo.pdf
,ADA,1.0,5039.0,SARANDÍ 428 esq. MISIONES,DIRECCIÓN GENERAL DEL REGISTRO CIVIL,SI,,,,planes_circuitales\Montevideo.pdf
