Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,32,KAA,41778,42250,Escuela No. 94,33 Orientales 1079,400,N,URBANO,57,KBA,30390,31065,Sociedad Española,Leandro Gomez 1192,84,KCA,12232,12793,Jardín de Infantes No. 103,de Mauá,410,Unnamed: 0,Unnamed: 1,110,KCB,10446,11587,Liceo No. 4,Bulevar Artigas N 1198,S,138,30463,30984,Escuela No. 114,Artigas,167,KCC,6005,6644,Liceo Franscisco,Dr. Roldán 3245,392,195,KDB,3899,4326,Escuela No. 14,Pueblo Porvenir,281,RURAL,227,KEE,1,795,Escuela Nro. 49,Piedra Sola,135,259,KHA,546,Escuela Nro. 76,Paso Castel de Corrales,9,file
1.0,KAA,1.0,15204.0,Liceo No. 5,Silván Fernandez 975,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
2.0,KAA,15205.0,17398.0,Liceo No. 5,Silván Fernandez 975,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
3.0,KAA,17399.0,19318.0,Liceo No. 1,18 de Julio 685,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
4.0,KAA,19319.0,20807.0,Liceo No. 1,18 de Julio 685,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
5.0,KAA,20808.0,22002.0,Liceo No. 1,18 de Julio 685,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
6.0,KAA,22003.0,23093.0,Espacio GOBBI,18 de Julio y Baltasar Brum,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
7.0,KAA,23094.0,24315.0,Espacio GOBBI,18 de Julio y Baltasar Brum,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
8.0,KAA,24316.0,25292.0,Escuela No. 1,Zelmar Michelini y Uruguay,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
9.0,KAA,25293.0,26267.0,Escuela No. 1,Zelmar Michelini y Uruguay,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
10.0,KAA,26268.0,27312.0,AJUPE,Uruguay 775,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
11.0,KAA,27313.0,28358.0,Club de Leones Paysandú,Washington 845,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
12.0,KAA,28359.0,29217.0,INAU,Baltasar Brum 980,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
13.0,KAA,29218.0,30101.0,INAU,Baltasar Brum 980,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
14.0,KAA,30102.0,31095.0,Cajupay,Libertad 988,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
15.0,KAA,31096.0,31760.0,Escuela Italiana,Florida 830,410.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
16.0,KAA,31761.0,32486.0,Casa de Cultura,Leandro Gómez 852,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
17.0,KAA,32487.0,33320.0,Liceo Pyaguazu,33 Orientales 865,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
18.0,KAA,33321.0,33993.0,Liceo Pyaguazu,33 Orientales 865,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
19.0,KAA,33994.0,34654.0,Escuela Padre Lamas,Independencia 629,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
20.0,KAA,34655.0,35377.0,Escuela Padre Lamas,Independencia 629,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
21.0,KAA,35378.0,36119.0,Escuela Padre Lamas,Independencia 629,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
22.0,KAA,36120.0,36718.0,Escuela Padre Lamas,Independencia 629,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
23.0,KAA,36719.0,37354.0,Parroquia Sagrado Corazon,Setembrino Pereda 694,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,33.0,KAA,42251.0,42685.0,Escuela No.  94,33 Orientales 1079,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,34.0,KAA,42686.0,43123.0,"Centro UniversitarioPaysandú",Florida 1065,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,35.0,KAA,43124.0,43567.0,"Centro UniversitarioPaysandú",Florida 1065,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,36.0,KAA,43568.0,44001.0,"Centro UniversitarioPaysandú",Florida 1065,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,37.0,KAA,44002.0,44423.0,MIDES,Florida 1066,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,38.0,KAA,44424.0,44839.0,Escuela No. 91,Florida 969,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,39.0,KAA,44840.0,45246.0,Escuela No. 91,Florida 969,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,40.0,KAA,45247.0,45702.0,Centro Comercial e Industrial,Florida 983,405.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,41.0,KBA,1.0,13817.0,"Colegio Nuestra Señora delRosario",Ingreso por 18 de Julio esq. Vizconde de Mauá,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,42.0,KBA,13818.0,16114.0,"Colegio Nuestra Señora delRosario",Ingreso por 18 de Julio esq. Vizconde de Mauá,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
