Circuito,Serie,Desde,Hasta,Localidad,Local,Dirección,file
1,LAA,1.0,14614,FRAY BENTOS,O.S.E.,Zorrilla esq/Instrucciones,planes_circuitales\Rio_Negro.pdf
2,LAA,14615.0,16911,FRAY BENTOS,Liceo Eugenio Capdevielle,Roberto Young y Dr. J. Zorrilla de San Martín,planes_circuitales\Rio_Negro.pdf
3,LAA,16912.0,18946,FRAY BENTOS,Liceo Eugenio Capdevielle,Roberto Young y Dr. J. Zorrilla de San Martín,planes_circuitales\Rio_Negro.pdf
4,LAA,18947.0,20322,FRAY BENTOS,Liceo Eugenio Capdevielle,Roberto Young y Dr. J. Zorrilla de San Martín,planes_circuitales\Rio_Negro.pdf
5,LAA,20323.0,21802,FRAY BENTOS,Centro de Barrio 2000,Rep. de Chile c/ Ruta Vladimir Roslik,planes_circuitales\Rio_Negro.pdf
6,LAA,21803.0,23145,FRAY BENTOS,Liceo No 2,Rep. de Chile c/ Ruta Vladimir Roslik,planes_circuitales\Rio_Negro.pdf
7,LAA,23146.0,24476,FRAY BENTOS,Liceo No 2,Rep. de Chile c/ Ruta Vladimir Roslik,planes_circuitales\Rio_Negro.pdf
8,LAA,24477.0,25683,FRAY BENTOS,Liceo No 2,Rep. de Chile c/ Ruta Vladimir Roslik,planes_circuitales\Rio_Negro.pdf
9,LAA,25684.0,26722,FRAY BENTOS,Escuela No 73,Lawry c/Blanes,planes_circuitales\Rio_Negro.pdf
10,LAA,26723.0,27640,FRAY BENTOS,Escuela No 73,Lawry c/Blanes,planes_circuitales\Rio_Negro.pdf
11,LAA,27641.0,28687,FRAY BENTOS,Jardín No 81,Enrique Tarigo y Requiterena,planes_circuitales\Rio_Negro.pdf
12,LAA,28688.0,29787,FRAY BENTOS,Escuela No 66,Capdevielle y Lavalleja,planes_circuitales\Rio_Negro.pdf
13,LAA,29788.0,30696,FRAY BENTOS,Escuela No 66,Capdevielle y Lavalleja,planes_circuitales\Rio_Negro.pdf
14,LAA,30697.0,31705,FRAY BENTOS,Club 18 de Julio,Zorrilla y Wilson Ferreira,planes_circuitales\Rio_Negro.pdf
15,LAA,31706.0,32547,FRAY BENTOS,Escuela No 60 (Dr. Mario Carminatti),Rincón y Wilson Ferreira,planes_circuitales\Rio_Negro.pdf
16,LAA,32548.0,33244,FRAY BENTOS,Escuela No 60 (Dr. Mario Carminatti),Rincón y Wilson Ferreira,planes_circuitales\Rio_Negro.pdf
17,LAA,33245.0,34048,FRAY BENTOS,Oficina de Obras (Corralón Mpal.),Florencio Sánchez e/18 de Julio y Rincón,planes_circuitales\Rio_Negro.pdf
18,LAA,34049.0,35066,FRAY BENTOS,U.T.E.,18 de Julio No 1777,planes_circuitales\Rio_Negro.pdf
19,LAA,35067.0,35745,FRAY BENTOS,Terminal de Ómnibus - Sala de Lectura,18 de Julio e/ José P. Varela y Blanes,planes_circuitales\Rio_Negro.pdf
20,LAA,35746.0,36416,FRAY BENTOS,Escuela No 62 (Fructuoso Rivera),Camino Batlle y Ordoñez,planes_circuitales\Rio_Negro.pdf
21,LAA,36417.0,37117,FRAY BENTOS,Escuela No 62 (Fructuoso Rivera),Camino Batlle y Ordoñez,planes_circuitales\Rio_Negro.pdf
22,LAA,37118.0,37803,FRAY BENTOS,Escuela Técnica (U.T.U.) Salón No 1,Haedo c/Ituzaingó,planes_circuitales\Rio_Negro.pdf
23,LAA,37804.0,38600,FRAY BENTOS,Escuela Técnica (U.T.U.) Salón No 5,Haedo c/Ituzaingó,planes_circuitales\Rio_Negro.pdf
24,LAA,38601.0,39156,FRAY BENTOS,Escuela Técnica (U.T.U.) Salón No 8,Haedo c/Ituzaingó,planes_circuitales\Rio_Negro.pdf
25,LAA,39157.0,39760,FRAY BENTOS,Club de Bochas Rincón,19 de Abril entre Rincon y Haedo,planes_circuitales\Rio_Negro.pdf
26,LAA,39761.0,40348,FRAY BENTOS,Asociación Martin Etchegoyen del Pino,Rincon No 1392 y 19 de Abril,planes_circuitales\Rio_Negro.pdf
