Unnamed: 0,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,HAA,1,9334,Centro,"Escuela No 8 ,  Dr. Anollés y Figueroa",410,S,U,planes_circuitales\Rivera.pdf
2,HAA,9335,11012,Centro,"Escuela No 8 ,  Dr. Anollés y Figueroa",410,S,U,planes_circuitales\Rivera.pdf
3,HAA,11013,12177,Centro,"Escuela No 8, Figueroa y Dr. Anollés",410,N,U,planes_circuitales\Rivera.pdf
4,HAA,12178,13519,Centro,"Escuela No 8, Figueroa y Dr. Anollés",410,N,U,planes_circuitales\Rivera.pdf
5,HAA,13520,14798,Centro,"Club Casa del Empleado, Sarandí N°519",410,N,U,planes_circuitales\Rivera.pdf
6,HAA,14799,15861,Centro,"Club Casa del Empleado, Sarandí N°519",410,N,U,planes_circuitales\Rivera.pdf
7,HAA,15862,16731,Centro,"Club Casa del Empleado, Sarandí N°519",410,N,U,planes_circuitales\Rivera.pdf
8,HAA,16732,17486,Centro,"Club Casa del Empleado, Sarandí N°519",410,N,U,planes_circuitales\Rivera.pdf
9,HAA,17487,18217,Centro,"ACIR, Monseñor Vera N°1119",410,S,U,planes_circuitales\Rivera.pdf
10,HAA,18218,18856,Centro,"Circulo Policial, Artigas N° 1129",410,S,U,planes_circuitales\Rivera.pdf
11,HAA,18857,19466,Centro,"INAU, Faustino Carámbula N°1167",410,N,U,planes_circuitales\Rivera.pdf
12,HAA,19467,20015,Centro,"Inspección Dptal. de Escuelas, Sarandí N°714",410,N,U,planes_circuitales\Rivera.pdf
13,HAA,20016,20546,Centro,"M.T.S.S., Agraciada N°784",410,S,U,planes_circuitales\Rivera.pdf
14,HAA,20547,21044,Centro,"M.T.S.S., Agraciada N°784",410,S,U,planes_circuitales\Rivera.pdf
15,HAA,21045,21502,Centro,"I.F.D. Salón 2, Agraciada N°892",400,S,U,planes_circuitales\Rivera.pdf
16,HAA,21503,21952,Centro,"I.F.D. Salón 3, Agraciada N°892",400,S,U,planes_circuitales\Rivera.pdf
17,HAA,21953,22400,Centro,"I.F.D. Sala de Profesores, Agraciada N°892",400,S,U,planes_circuitales\Rivera.pdf
18,HAA,22401,22823,Centro,"Club Boulevard Lagos del Norte, Anollés y P.Viera",400,S,U,planes_circuitales\Rivera.pdf
19,HAA,22824,23244,Centro,"Club Boulevard Lagos del Norte, Anollés y P.Viera",400,S,U,planes_circuitales\Rivera.pdf
20,HAA,23245,23674,Centro,"Club Boulevard Lagos del Norte, Anollés y P.Viera",400,S,U,planes_circuitales\Rivera.pdf
21,HAB,1,19179,Centro,"Escuela N°105, Fructuoso Rivera N°642",410,S,U,planes_circuitales\Rivera.pdf
22,HAB,19180,22041,Centro,"Escuela N°105, Fructuoso Rivera N°642",410,S,U,planes_circuitales\Rivera.pdf
23,HAB,22042,24519,Centro,"Escuela N°105, Fructuoso Rivera N°642",410,S,U,planes_circuitales\Rivera.pdf
24,HAB,24520,26562,Centro,"Liceo N°1 -Sala Damborearena, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
25,HAB,26563,27965,Centro,"Liceo N°1 -Sala 2, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
26,HAB,27966,29294,Centro,"Liceo N°1 -Sala 3, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
27,HAB,29295,30620,Centro,"Liceo N°1 -Sala 4, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
28,HAB,30621,31758,Centro,"Liceo N°1 -Sala 5, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
29,HAB,31759,32809,Centro,"Liceo N°1 -Anfiteatro , Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
HAB,32810,33846,Centro,"Liceo N°1 -Sala 17, Nieto Clavera y Artigas",410,N,U,,planes_circuitales\Rivera.pdf
31,HAB,33847,34989,Centro,"Liceo N°1 -Sala 18, Nieto Clavera y Artigas",410,N,U,planes_circuitales\Rivera.pdf
