Unnamed: 0,Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,60,EBA,1,1583,La Sierra,"Escuela N° 45, Sala Informática",149,S,Rural,87,EDC,9601,Castillos,Jardín de Infantes 104 - Freire y 25 de Agosto al fondo,405,Urb.,118,EEA,17400,17834,Lascano,"Escuela N° 93 - Rincón c/19 de Abril - a la derecha, SalónInicial",397,N,147,EFB,18138,18565,Chuy,"Liceo N° 1 - Gral. Artigas y Gaboto, a la izquierda",400,file
1.0,EAA,1.0,22509.0,ROCHA,Colegio San José - Ramírez N° 201 - Biblioteca,410.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
2.0,EAA,22510.0,25346.0,ROCHA,Colegio San José - L.S.y Sancho c/Ramírez - Salón 3,410.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
3.0,EAA,25347.0,27796.0,ROCHA,"Colegio San José - L.S.y Sancho c/Ramírez - Ultimo salónpasillo",410.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
4.0,EAA,27797.0,29507.0,ROCHA,A.JU.PEN.RO. - 19 de Abril N° 170,410.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
5.0,EAA,29508.0,30959.0,ROCHA,CEPAR UNI-3 - Treinta y Tres N° 2072,410.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
6.0,EAA,30960.0,32379.0,ROCHA,"Escuela Artigas - Gral. Artigas a la derecha, Salón 6°",410.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
7.0,EAA,32380.0,33774.0,ROCHA,"Escuela Artigas - Gral. Artigas a la derecha, Salón 4°",410.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
8.0,EAA,33775.0,34812.0,ROCHA,"Escuela Artigas - Gral. Artigas a la izquierda, Salón 3°",400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
9.0,EAA,34813.0,35779.0,ROCHA,"Escuela Artigas - Gral. Artigas a la izquierda, Salón 1°",400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
10.0,EAA,35780.0,36867.0,ROCHA,"Intendencia - Gral. Artigas N° 176, a la izquierda",400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
11.0,EAA,36868.0,37865.0,ROCHA,"Intendencia - Gral. Artigas No 176, a la derecha",400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
12.0,EAA,37866.0,38985.0,ROCHA,"Intendencia - Gral. Artigas No 174, Atención Ciudadana",400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
13.0,EAA,38986.0,39941.0,ROCHA,Intendencia - Rodó N° 92,400.0,N,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
14.0,EAA,39942.0,40803.0,ROCHA,B.P.S. por Callejuela Sención a la derecha,400.0,S,Urb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Rocha.pdf
