Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,OAA,1,4073,SAN JOSÉ DE MAYO,"Salón INVE 2, 18 de Julio y Rocha",387,S,URBANO,planes_circuitales\San_Jose.pdf
2,OAA,4074,5048,SAN JOSÉ DE MAYO,"Salón INVE 2, 18 de Julio y Rocha. Barbacoa.",387,N,URBANO,planes_circuitales\San_Jose.pdf
3,OAA,5049,5908,SAN JOSÉ DE MAYO,"Escuela Pública No 83, 18 de Julio y Rocha",387,N,URBANO,planes_circuitales\San_Jose.pdf
4,OAA,5909,6677,SAN JOSÉ DE MAYO,"Escuela Pública No 83, 18 de Julio y Rocha",387,N,URBANO,planes_circuitales\San_Jose.pdf
5,OAA,6678,7406,SAN JOSÉ DE MAYO,"Salón Parroquial, 18 de Julio y Rocha",387,S,URBANO,planes_circuitales\San_Jose.pdf
6,OAA,7407,7941,SAN JOSÉ DE MAYO,"Liceo No 3, Soriano s/n",387,S,URBANO,planes_circuitales\San_Jose.pdf
7,OAA,7942,8510,SAN JOSÉ DE MAYO,"Liceo No 3, Soriano s/n",387,S,URBANO,planes_circuitales\San_Jose.pdf
8,OAA,8511,9040,SAN JOSÉ DE MAYO,"Liceo No 3, Soriano s/n",387,S,URBANO,planes_circuitales\San_Jose.pdf
9,OAA,9041,9557,SAN JOSÉ DE MAYO,"Salón Parroquial Barrio Colón, Pelossi 132 esq. Ellauri",387,S,URBANO,planes_circuitales\San_Jose.pdf
10,OAA,9558,10049,SAN JOSÉ DE MAYO,"Salón Comunal Barrio Colón, Pelossi esq. Ellauri",387,S,URBANO,planes_circuitales\San_Jose.pdf
11,OAA,10050,10494,SAN JOSÉ DE MAYO,"Salón Comunal Barrio Colón, Pelossi esq. Ellauri",387,S,URBANO,planes_circuitales\San_Jose.pdf
12,OAA,10495,10935,SAN JOSÉ DE MAYO,"Escuela Pública No 53, Aparicio Saravia S/N",387,S,URBANO,planes_circuitales\San_Jose.pdf
13,OAA,10936,11351,SAN JOSÉ DE MAYO,"Escuela Pública No 53, Aparicio Saravia S/N",387,S,URBANO,planes_circuitales\San_Jose.pdf
14,OAA,11352,11768,SAN JOSÉ DE MAYO,"Escuela Pública No 53, Aparicio Saravia S/N",387,S,URBANO,planes_circuitales\San_Jose.pdf
15,OAA,11769,12182,SAN JOSÉ DE MAYO,"Escuela Pública No 53, Aparicio Saravia S/N",387,S,URBANO,planes_circuitales\San_Jose.pdf
16,OAA,12183,12578,SAN JOSÉ DE MAYO,"Club Centenario, Ituzaingó 370",387,S,URBANO,planes_circuitales\San_Jose.pdf
17,OAA,12579,13001,SAN JOSÉ DE MAYO,"Club Centenario, Ituzaingó 370",392,S,URBANO,planes_circuitales\San_Jose.pdf
18,OAB,1,4971,SAN JOSÉ DE MAYO,DGI - Treinta y Tres 351 esq.Vidal,383,S,URBANO,planes_circuitales\San_Jose.pdf
19,OAB,4972,5875,SAN JOSÉ DE MAYO,"Escuela Pública No 45, Asamblea y Artigas",383,N,URBANO,planes_circuitales\San_Jose.pdf
20,OAB,5876,6584,SAN JOSÉ DE MAYO,"Escuela Pública No 45, Asamblea y Artigas",383,N,URBANO,planes_circuitales\San_Jose.pdf
21,OAB,6585,7166,SAN JOSÉ DE MAYO,UTEC - Gral. José Artigas 456. Esq. Ciganda,383,S,URBANO,planes_circuitales\San_Jose.pdf
22,OAB,7167,7666,SAN JOSÉ DE MAYO,UTEC - Gral. José Artigas 456. Esq. Ciganda,383,S,URBANO,planes_circuitales\San_Jose.pdf
23,OAB,7667,8115,SAN JOSÉ DE MAYO,UTEC - Gral. José Artigas 456. Esq. Ciganda,383,S,URBANO,planes_circuitales\San_Jose.pdf
