Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 0,MAA,57868,58530,Mercedes,Club El Remanso - Cassinoni y Paysandú,400,N,Urbano,77468,77946,"Escuela No 104, Giménez 797",S,MBA,2635,3149,Villa Soriano,"Escuela No 6, Villa Soriano",289,Rural,MCA,31497,32003,Dolores,"Escuela No 2, Puig 1552",410,MED,1,920,San Martín,"Escuela No 34, San Martin",65,MGA,532,Arroyo Corto,"Escuela No 74, Arroyo Corto",77,file
1,MAA,1.0,23144,Mercedes,"Liceo ""Campos"", Zapican 131",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
2,MAA,23145.0,25966,Mercedes,"Liceo ""Campos"", Zapican 131",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
3,MAA,25967.0,28094,Mercedes,"Liceo ""Campos"", Zapican 131",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
4,MAA,28095.0,30136,Mercedes,"Liceo ""Campos"", Zapican 131",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
5,MAA,30137.0,31888,Mercedes,"UNI 3, De Castro y Careaga 652",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
6,MAA,31889.0,33852,Mercedes,"Intendencia, Giménez 643",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
7,MAA,33853.0,35036,Mercedes,"Intendencia, Giménez 643",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
8,MAA,35037.0,36514,Mercedes,"Biblioteca ""Giménez"", Giménez y 28 de Febrero",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
9,MAA,36515.0,37624,Mercedes,"Biblioteca ""Giménez"", Giménez y 28 de Febrero",410,S,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
10,MAA,37625.0,38663,Mercedes,"Registro de Traslaciones, Paysandú 681",410,N,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Soriano.pdf
