Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1.0,TAA,1,21743,Ciudad,Asociación de Jubilados - Ituzaingó No 388,410,S,Urbano,planes_circuitales\Tacuarembo.pdf
2.0,TAA,21744,25125,Ciudad,Asociación de Jubilados - Ituzaingó No 388,410,N,Urbano,planes_circuitales\Tacuarembo.pdf
3.0,TAA,25126,27856,Ciudad,Casa de la Cultura - Ituzaingó No 364,410,S,Urbano,planes_circuitales\Tacuarembo.pdf
4.0,TAA,27857,29616,Ciudad,Casa de la Cultura - Ituzaingó No 364,400,S,Urbano,planes_circuitales\Tacuarembo.pdf
5.0,TAA,29617,31391,Ciudad,Hogar Estudiantil  (Salón comedor) - Ituzaingó No 352,400,S,Urbano,planes_circuitales\Tacuarembo.pdf
6.0,TAA,31392,33115,Ciudad,Hogar Estudiantil (Sala de estudio) - Ituzaingó No 352,400,S,Urbano,planes_circuitales\Tacuarembo.pdf
7.0,TAA,33116,34521,Ciudad,BPS - Gral. Artigas No 266,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
8.0,TAA,34522,36012,Ciudad,BPS - Gral. Artigas No 266,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
9.0,TAA,36013,37634,Ciudad,Servicio Social - Gral. Artigas No 260,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
10.0,TAA,37635,39067,Ciudad,Servicio Social - Gral. Artigas No 260,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
11.0,TAA,39068,40187,Ciudad,IDT- Archivo y Registro de Contribuyentes - Gral. Flores s/n,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
12.0,TAA,40188,41219,Ciudad,IDT- Oficina de Personal - Gral. Flores s/n,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
13.0,TAA,41220,42380,Ciudad,IDT- Oficina de Dirección de Impositiva - Gral. Flores s/n,400,S,Urbano,planes_circuitales\Tacuarembo.pdf
14.0,TAA,42381,43408,Ciudad,IDT- Oficina Servicios Municipales - Gral. Flores s/n,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
15.0,TAA,43409,44420,Ciudad,Defensoría Pública - Gral. Flores y Joaquín Suarez,400,N,Urbano,planes_circuitales\Tacuarembo.pdf
