Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,44,FAA,58813,59255,TREINTA Y TRES,Centro Cultural Democrático - Pablo Zufriategui esq. Manuel Freire,394,N,Urbano,88,FCF,1,554,AVESTRUZ CHICO,Escuela N° 37 - Rincón de los Francos,66,Rural,file
1.0,FAA,1.0,19814.0,TREINTA Y TRES,Escuela Técnica N° 2 - Juan Antonio Lavalleja s/n,394.0,S,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
2.0,FAA,19815.0,23120.0,TREINTA Y TRES,OSE - Manuel Oribe 1489,394.0,S,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
3.0,FAA,23121.0,25612.0,TREINTA Y TRES,BPS - Manuel Oribe esq. Santiago Gadea,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
4.0,FAA,25613.0,27511.0,TREINTA Y TRES,BPS - Manuel Oribe esq. Santiago Gadea,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
5.0,FAA,27512.0,29177.0,TREINTA Y TRES,BPS - Santiago Gadea casi Manuel Oribe,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
6.0,FAA,29178.0,30828.0,TREINTA Y TRES,Club Social Raíces - Santiago Gadea 1181,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
7.0,FAA,30829.0,32373.0,TREINTA Y TRES,Club Social Raíces - Santiago Gadea 1181,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
8.0,FAA,32374.0,33555.0,TREINTA Y TRES,Colegio Nuestra Sra. de los 33 - Pablo Zufriategui 1135,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
9.0,FAA,33556.0,34756.0,TREINTA Y TRES,Colegio Nuestra Sra. de los 33 - Pablo Zufriategui 1135,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
10.0,FAA,34757.0,35785.0,TREINTA Y TRES,Escuela N° 2 - Basilio Araújo 1128,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
11.0,FAA,35786.0,36922.0,TREINTA Y TRES,Escuela N° 2 - Basilio Araújo 1128,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
12.0,FAA,36923.0,37897.0,TREINTA Y TRES,Escuela N° 2 - Manuel Oribe s/n,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
13.0,FAA,37898.0,38861.0,TREINTA Y TRES,Instituto del Formación Docente- Manuel Lavalleja 1191,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
14.0,FAA,38862.0,39925.0,TREINTA Y TRES,Instituto del Formación Docente- Manuel Lavalleja 1191,394.0,N,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
15.0,FAA,39926.0,40705.0,TREINTA Y TRES,Biblioteca Junta Departamental - Manuel Oribe 1456,394.0,S,Urbano,,,,,,,,,,,,,,,,,,planes_circuitales\Treinta_y_Tres.pdf
